,id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
9754,1208783,FundCalcs,Cloud based software and hold existing data to replicate or replace fund administration calculations,Fintech,,3,"Ireland, Dublin",,,,Ireland,Dublin,"reporting,administration,Automated Technology"
9763,984140,Banca Transilvania,"Banca Transilvania is one of the leading banks in Romania, consistently ranked as one of the country's most trusted brands",Fintech,,4,"Romania, Cluj-Napoca",,,,Romania,Cluj-Napoca,Banking
9825,1454146,Husky Finance,Husky Finance - We help you make the best pension choices,Fintech,,2,"Ireland, Dublin",,,D01,Ireland,Dublin,"Personal Finance,financial service,regtech compliance,Developer Tools,compliance,SaaS"
9828,1511558,Wellth,Wellth - Beautiful Investment Tracking,Fintech,,2,"United Kingdom, London",,,SW1A 2,United Kingdom,London,
9844,1456907,KAMCO Investment,KAMCO Investment Company,Fintech,,2,"Kuwait, Kuwait City",,,,Kuwait,Kuwait City,"Asset management,Banking"
9939,1375133,Nordic Innovation House,"Accelerator, co-working & virtual office for nordic tech companies",Fintech,Real Estate,3,"United States, Palo Alto",,,,United States,Palo Alto,"community,investing"
9940,1240349,Centaur Fund Services,Provider of independent fund administration and regulatory services,Fintech,,2,"D01 V9V4 Dublin, Ireland",,,D01 V9V4,Ireland,Dublin,"administration,financial service,Banking,compliance"
10003,1456828,Cocoon Venture,Cocoon Ventures,Fintech,,2,"United Arab Emirates, Dubai",,,,United Arab Emirates,Dubai,"financial service,investing"
10057,1216081,Fransabank,"Retail, corporate, investment, and private banking services",Fintech,,3,"Lebanon, Beirut",,,,Lebanon,Beirut,"Mortgages & Lending,financial service,Banking,Retail"
10180,1467788,Epooq Business Management,Free business profile for EPOOQ.COM provided by Network Solutions,Hosting,Kids,2,"Sweden, Stockholm",,,112 47,Sweden,Stockholm,"Insurance,insurtech"
10397,1706803,Symbiosis Institute of Telecom Management,Symbiosis Institute of Telecom Management,Telecom,,2,"India, Pune",,,411030,India,Pune,outside tech
